RegionName,ZHVI,,,,,,
Bayview,406500,,,,,,
Bernal Heights,830600,,,,,,
Buena Vista Park,1054100,,,,,,
Central Richmond,919400,,,,,,
Central Sunset,817400,,,,,,
Central Waterfront - Dogpatch,750700,,,,,,
Corona Heights,1126200,,,,,,
Cow Hollow,1472800,,,,,,
Crocker Amazon,575900,,,,,,
Downtown,552400,,,,,,
Eureka Valley - Dolores Heights - Castro,1261000,,,,,,
Excelsior,550500,,,,,,
Forest Hill,1322500,,,,,,
Forest Hill Extension,1013300,,,,,,
Forest Knolls,1005800,,,,,,
Glen Park,984000,,,,,,
Golden Gate Heights,990700,,,,,,
Haight-Ashbury,997000,,,,,,
Hayes Valley,897100,,,,,,
Ingleside,600200,,,,,,
Ingleside Heights,514000,,,,,,
Ingleside Terrace,1067800,,,,,,
Inner Parkside,913500,,,,,,
Inner Richmond,1210100,,,,,,
Inner Sunset,968200,,,,,,
Jordan Park - Laurel Heights,1628700,,,,,,
Lake,1569000,,,,,,
Lakeshore,858900,,,,,,
Lakeside,966700,,,,,,
Little Hollywood,532900,,,,,,
Lone Mountain,1087700,,,,,,
Lower Pacific Heights,835300,,,,,,
Marina,1624900,,,,,,
Merced Heights,624500,,,,,,
Midtown Terrace,870000,,,,,,
Miraloma Park,863000,,,,,,
Mission,828900,,,,,,
Mission Bay,835800,,,,,,
Mission Terrace,643400,,,,,,
Mount Davidson Manor,934400,,,,,,
Nob Hill,985900,,,,,,
Noe Valley,1292700,,,,,,
North Beach,856200,,,,,,
North Panhandle,879000,,,,,,
North Waterfront,691300,,,,,,
Oceanview,511800,,,,,,
Outer Mission,569500,,,,,,
Outer Parkside,681600,,,,,,
Outer Richmond,787600,,,,,,
Outer Sunset,695800,,,,,,
Pacific Heights,1413900,,,,,,
Parkside,783100,,,,,,
Parnassus - Ashbury,1568500,,,,,,
Portola,584400,,,,,,
Potrero Hill,844400,,,,,,
Presidio Heights,3890600,,,,,,
Russian Hill,1150900,,,,,,
Sea Cliff,2976400,,,,,,
Silver Terrace,522400,,,,,,
South Beach,912800,,,,,,
South of Market,665600,,,,,,
St. Francis Wood,1891800,,,,,,
Sunnyside,716000,,,,,,
Telegraph Hill,973700,,,,,,
Twin Peaks,865000,,,,,,
Van Ness - Civic Center,536400,,,,,,
Visitacion Valley,493000,,,,,,
West Portal,1112000,,,,,,
Western Addition,674000,,,,,,
Westwood Highlands,948200,,,,,,
Westwood Park,772500,,,,,,
Yerba Buena,770400,,,,,,
